"","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit"
"159",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachinus draco",127082,NA,"Count (Dmnless)",1,"Dmnless"
"160",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",7,"Dmnless"
"161",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trachurus trachurus",126822,NA,"Count (Dmnless)",2,"Dmnless"
"162",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trichiurus lepturus",127089,NA,"Count (Dmnless)",7,"Dmnless"
"163",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Trigla lyra",127266,NA,"Count (Dmnless)",49,"Dmnless"
"164",1992-07-15,"32.836143_35.027246_6541","32.836143_35.027246_6541_19920715",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",12,"Dmnless"
"165",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless"
"166",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",5,"Dmnless"
"167",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",110,"Dmnless"
"168",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless"
"169",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",1,"Dmnless"
"170",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",90,"Dmnless"
"171",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",2,"Dmnless"
"172",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",2,"Dmnless"
"173",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",4,"Dmnless"
"174",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sardina pilchardus",126421,NA,"Count (Dmnless)",48,"Dmnless"
"175",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sardinella aurita",126422,NA,"Count (Dmnless)",1,"Dmnless"
"176",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Saurida undosquamis",126371,NA,"Count (Dmnless)",3,"Dmnless"
"177",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",14,"Dmnless"
"178",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Serranus hepatus",127042,NA,"Count (Dmnless)",4,"Dmnless"
"179",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Sphyraena sphyraena",127068,NA,"Count (Dmnless)",13,"Dmnless"
"180",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",7,"Dmnless"
"181",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Trichiurus lepturus",127089,NA,"Count (Dmnless)",2,"Dmnless"
"182",1993-08-25,"32.836143_35.027246_6541","32.836143_35.027246_6541_19930825",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",59,"Dmnless"
"183",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Boops boops",127047,NA,"Count (Dmnless)",27,"Dmnless"
"184",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Dentex",126075,NA,"Count (Dmnless)",1,"Dmnless"
"185",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Engraulis encrasicolus",126426,NA,"Count (Dmnless)",90,"Dmnless"
"186",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Mullus barbatus",126985,NA,"Count (Dmnless)",86,"Dmnless"
"187",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Mullus surmuletus",126986,NA,"Count (Dmnless)",4,"Dmnless"
"188",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Pagellus acarne",127057,NA,"Count (Dmnless)",47,"Dmnless"
"189",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",7,"Dmnless"
"190",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Sardina pilchardus",126421,NA,"Count (Dmnless)",5,"Dmnless"
"191",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Scomber japonicus",127022,NA,"Count (Dmnless)",24,"Dmnless"
"192",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",44,"Dmnless"
"193",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless"
"194",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",92,"Dmnless"
"195",1994-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_19940814",NA,NA,29,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",8,"Dmnless"
"196",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Alepes djedaba",126800,NA,"Count (Dmnless)",16,"Dmnless"
"197",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Apogon imberbis",273021,NA,"Count (Dmnless)",1,"Dmnless"
"198",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless"
"199",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Bothus podas",127129,NA,"Count (Dmnless)",4,"Dmnless"
"200",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",23,"Dmnless"
"201",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Diplodus annularis",127049,NA,"Count (Dmnless)",1,"Dmnless"
"202",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Diplodus cervinus",127051,NA,"Count (Dmnless)",4,"Dmnless"
"203",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",4,"Dmnless"
"204",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Jaydia smithi",313170,NA,"Count (Dmnless)",1,"Dmnless"
"205",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",1,"Dmnless"
"206",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",3,"Dmnless"
"207",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",14,"Dmnless"
"208",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Nemipterus randalli",218518,NA,"Count (Dmnless)",2,"Dmnless"
"209",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Oblada melanurus",1577363,NA,"Count (Dmnless)",1,"Dmnless"
"210",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",10,"Dmnless"
"211",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",5,"Dmnless"
"212",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Plotosus lineatus",217659,NA,"Count (Dmnless)",7,"Dmnless"
"213",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Raja miraletus",105886,NA,"Count (Dmnless)",1,"Dmnless"
"214",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Seriola dumerili",126816,NA,"Count (Dmnless)",1,"Dmnless"
"215",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Sparus aurata",151523,NA,"Count (Dmnless)",1,"Dmnless"
"216",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless"
"217",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Trachurus indicus",218443,NA,"Count (Dmnless)",1,"Dmnless"
"218",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",4,"Dmnless"
"219",2009-08-14,"32.836143_35.027246_6541","32.836143_35.027246_6541_20090814",NA,NA,15,"Upeneus pori",273671,NA,"Count (Dmnless)",10,"Dmnless"
"220",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Alepes djedaba",126800,NA,"Count (Dmnless)",1,"Dmnless"
"221",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Boops boops",127047,NA,"Count (Dmnless)",4,"Dmnless"
"222",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Bothus podas",127129,NA,"Count (Dmnless)",1,"Dmnless"
"223",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",4,"Dmnless"
"224",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Decapterus russelli",218427,NA,"Count (Dmnless)",61,"Dmnless"
"225",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",37,"Dmnless"
"226",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lagocephalus spadiceus",127415,NA,"Count (Dmnless)",16,"Dmnless"
"227",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",3,"Dmnless"
"228",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",4,"Dmnless"
"229",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Nemipterus randalli",218518,NA,"Count (Dmnless)",7,"Dmnless"
"230",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Pagrus caeruleostictus",127062,NA,"Count (Dmnless)",2,"Dmnless"
"231",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Plotosus lineatus",217659,NA,"Count (Dmnless)",48,"Dmnless"
"232",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Pomadasys stridens",126948,NA,"Count (Dmnless)",1,"Dmnless"
"233",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sardinella aurita",126422,NA,"Count (Dmnless)",2,"Dmnless"
"234",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Saurida undosquamis",126371,NA,"Count (Dmnless)",2,"Dmnless"
"235",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Scomber japonicus",127022,NA,"Count (Dmnless)",38,"Dmnless"
"236",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Seriola dumerili",126816,NA,"Count (Dmnless)",13,"Dmnless"
"237",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sillago sihama",127046,NA,"Count (Dmnless)",2,"Dmnless"
"238",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Sphyraena chrysotaenia",127067,NA,"Count (Dmnless)",1,"Dmnless"
"239",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",1,"Dmnless"
"240",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Stephanolepis diaspros",127408,NA,"Count (Dmnless)",4,"Dmnless"
"241",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Trachurus trachurus",126822,NA,"Count (Dmnless)",1,"Dmnless"
"242",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",1,"Dmnless"
"243",2010-08-04,"32.836143_35.027246_6541","32.836143_35.027246_6541_20100804",NA,NA,16.5,"Upeneus pori",273671,NA,"Count (Dmnless)",16,"Dmnless"
"244",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Bothus podas",127129,NA,"Count (Dmnless)",50,"Dmnless"
"245",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Callionymus filamentosus",126791,NA,"Count (Dmnless)",8,"Dmnless"
"246",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Ctenolabrus rupestris",126964,NA,"Count (Dmnless)",2,"Dmnless"
"247",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Dentex",126075,NA,"Count (Dmnless)",8,"Dmnless"
"248",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Equulites klunzingeri",398518,NA,"Count (Dmnless)",232,"Dmnless"
"249",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Lagocephalus suezensis",275268,NA,"Count (Dmnless)",6,"Dmnless"
"250",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Lithognathus mormyrus",127055,NA,"Count (Dmnless)",6,"Dmnless"
"251",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Nemipterus randalli",218518,NA,"Count (Dmnless)",24,"Dmnless"
"252",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pagellus acarne",127057,NA,"Count (Dmnless)",21,"Dmnless"
"253",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",7,"Dmnless"
"254",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Pomadasys stridens",126948,NA,"Count (Dmnless)",15,"Dmnless"
"255",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Sargocentron rubrum",126400,NA,"Count (Dmnless)",1,"Dmnless"
"256",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Saurida undosquamis",126371,NA,"Count (Dmnless)",14,"Dmnless"
"257",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Scomber japonicus",127022,NA,"Count (Dmnless)",8,"Dmnless"
"258",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",7,"Dmnless"
"259",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Trachurus trachurus",126822,NA,"Count (Dmnless)",4,"Dmnless"
"260",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",6,"Dmnless"
"261",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Upeneus pori",273671,NA,"Count (Dmnless)",48,"Dmnless"
"262",2012-06-22,"32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Xyrichtys novacula",126971,NA,"Count (Dmnless)",1,"Dmnless"
"263",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",1,"Dmnless"
"264",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Arnoglossus thori",127128,NA,"Count (Dmnless)",3,"Dmnless"
"265",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless"
"266",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Conger conger",126285,NA,"Count (Dmnless)",1,"Dmnless"
"267",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",3,"Dmnless"
"268",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Echelus myrus",126314,NA,"Count (Dmnless)",5,"Dmnless"
"269",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",7,"Dmnless"
"270",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Lophius budegassa",126554,NA,"Count (Dmnless)",1,"Dmnless"
"271",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Merluccius merluccius",126484,NA,"Count (Dmnless)",4,"Dmnless"
"272",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Microchirus boscanion",274300,NA,"Count (Dmnless)",2,"Dmnless"
"273",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless"
"274",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Mullus barbatus",126985,NA,"Count (Dmnless)",75,"Dmnless"
"275",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Ophichthus rufus",126316,NA,"Count (Dmnless)",2,"Dmnless"
"276",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagellus acarne",127057,NA,"Count (Dmnless)",76,"Dmnless"
"277",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",1,"Dmnless"
"278",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagrus pagrus",127063,NA,"Count (Dmnless)",1,"Dmnless"
"279",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Scorpaena notata",127246,NA,"Count (Dmnless)",3,"Dmnless"
"280",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Scyliorhinus canicula",105814,NA,"Count (Dmnless)",1,"Dmnless"
"281",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Serranus cabrilla",127041,NA,"Count (Dmnless)",18,"Dmnless"
"282",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Serranus hepatus",127042,NA,"Count (Dmnless)",62,"Dmnless"
"283",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless"
"284",1996-05-08,"36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Trachinus draco",127082,NA,"Count (Dmnless)",1,"Dmnless"
"285",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Arnoglossus thori",127128,NA,"Count (Dmnless)",5,"Dmnless"
"286",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless"
"287",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Capros aper",127419,NA,"Count (Dmnless)",3,"Dmnless"
"288",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Crystallogobius linearis",126878,NA,"Count (Dmnless)",2,"Dmnless"
"289",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",6,"Dmnless"
"290",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",11,"Dmnless"
"291",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Merluccius merluccius",126484,NA,"Count (Dmnless)",11,"Dmnless"
"292",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless"
"293",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Mullus barbatus",126985,NA,"Count (Dmnless)",42,"Dmnless"
"294",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless"
"295",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Ophichthus rufus",126316,NA,"Count (Dmnless)",13,"Dmnless"
"296",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Pagellus acarne",127057,NA,"Count (Dmnless)",29,"Dmnless"
"297",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Pomatoschistus marmoratus",126926,NA,"Count (Dmnless)",4,"Dmnless"
"298",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Serranus cabrilla",127041,NA,"Count (Dmnless)",3,"Dmnless"
"299",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Serranus hepatus",127042,NA,"Count (Dmnless)",8,"Dmnless"
"300",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",4,"Dmnless"
"301",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless"
"302",1999-05-11,"36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Trachurus trachurus",126822,NA,"Count (Dmnless)",6,"Dmnless"
"303",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",1,"Dmnless"
"304",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Arnoglossus thori",127128,NA,"Count (Dmnless)",4,"Dmnless"
"305",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Bathysolea profundicola",127152,NA,"Count (Dmnless)",1,"Dmnless"
"306",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Boops boops",127047,NA,"Count (Dmnless)",73,"Dmnless"
"307",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Callionymus maculatus",126793,NA,"Count (Dmnless)",2,"Dmnless"
"308",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Cepola macrophthalma",126835,NA,"Count (Dmnless)",1,"Dmnless"
"309",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Chelidonichthys lucerna",127262,NA,"Count (Dmnless)",1,"Dmnless"
"310",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",43,"Dmnless"
"311",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Echelus myrus",126314,NA,"Count (Dmnless)",6,"Dmnless"
"312",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Gaidropsarus biscayensis",126452,NA,"Count (Dmnless)",1,"Dmnless"
"313",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless"
"314",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Helicolenus dactylopterus",127251,NA,"Count (Dmnless)",1,"Dmnless"
"315",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Lophius budegassa",126554,NA,"Count (Dmnless)",1,"Dmnless"
"316",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Merluccius merluccius",126484,NA,"Count (Dmnless)",4,"Dmnless"
"317",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless"
"318",2000-05-30,"36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Mullus barbatus",126985,NA,"Count (Dmnless)",35,"Dmnless"
