"","X","datecollected","siteid","sampleid","basisofrecord","minimumdepthinmeters","maximumdepthinmeters","taxaname","taxanameid","samplingeffort","parameter","parameter_value","parameter_standardunit","month","year"
"149",258,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",7,"Dmnless",6,2012
"150",259,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Trachurus trachurus",126822,NA,"Count (Dmnless)",4,"Dmnless",6,2012
"151",260,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Upeneus moluccensis",126989,NA,"Count (Dmnless)",6,"Dmnless",6,2012
"152",261,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Upeneus pori",273671,NA,"Count (Dmnless)",48,"Dmnless",6,2012
"153",262,"2012-06-22","32.836143_35.027246_6541","32.836143_35.027246_6541_20120622",NA,NA,16,"Xyrichtys novacula",126971,NA,"Count (Dmnless)",1,"Dmnless",6,2012
"154",263,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"155",264,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Arnoglossus thori",127128,NA,"Count (Dmnless)",3,"Dmnless",5,1996
"156",265,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless",5,1996
"157",266,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Conger conger",126285,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"158",267,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",3,"Dmnless",5,1996
"159",268,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Echelus myrus",126314,NA,"Count (Dmnless)",5,"Dmnless",5,1996
"160",269,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",7,"Dmnless",5,1996
"161",270,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Lophius budegassa",126554,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"162",271,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Merluccius merluccius",126484,NA,"Count (Dmnless)",4,"Dmnless",5,1996
"163",272,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Microchirus boscanion",274300,NA,"Count (Dmnless)",2,"Dmnless",5,1996
"164",273,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"165",274,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Mullus barbatus",126985,NA,"Count (Dmnless)",75,"Dmnless",5,1996
"166",275,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Ophichthus rufus",126316,NA,"Count (Dmnless)",2,"Dmnless",5,1996
"167",276,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagellus acarne",127057,NA,"Count (Dmnless)",76,"Dmnless",5,1996
"168",277,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"169",278,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Pagrus pagrus",127063,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"170",279,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Scorpaena notata",127246,NA,"Count (Dmnless)",3,"Dmnless",5,1996
"171",280,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Scyliorhinus canicula",105814,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"172",281,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Serranus cabrilla",127041,NA,"Count (Dmnless)",18,"Dmnless",5,1996
"173",282,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Serranus hepatus",127042,NA,"Count (Dmnless)",62,"Dmnless",5,1996
"174",283,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"175",284,"1996-05-08","36.76_-2.27_5760","36.76_-2.27_5760_19960508",NA,NA,64,"Trachinus draco",127082,NA,"Count (Dmnless)",1,"Dmnless",5,1996
"176",285,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Arnoglossus thori",127128,NA,"Count (Dmnless)",5,"Dmnless",5,1999
"177",286,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Boops boops",127047,NA,"Count (Dmnless)",5,"Dmnless",5,1999
"178",287,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Capros aper",127419,NA,"Count (Dmnless)",3,"Dmnless",5,1999
"179",288,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Crystallogobius linearis",126878,NA,"Count (Dmnless)",2,"Dmnless",5,1999
"180",289,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",6,"Dmnless",5,1999
"181",290,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",11,"Dmnless",5,1999
"182",291,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Merluccius merluccius",126484,NA,"Count (Dmnless)",11,"Dmnless",5,1999
"183",292,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless",5,1999
"184",293,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Mullus barbatus",126985,NA,"Count (Dmnless)",42,"Dmnless",5,1999
"185",294,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless",5,1999
"186",295,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Ophichthus rufus",126316,NA,"Count (Dmnless)",13,"Dmnless",5,1999
"187",296,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Pagellus acarne",127057,NA,"Count (Dmnless)",29,"Dmnless",5,1999
"188",297,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Pomatoschistus marmoratus",126926,NA,"Count (Dmnless)",4,"Dmnless",5,1999
"189",298,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Serranus cabrilla",127041,NA,"Count (Dmnless)",3,"Dmnless",5,1999
"190",299,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Serranus hepatus",127042,NA,"Count (Dmnless)",8,"Dmnless",5,1999
"191",300,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",4,"Dmnless",5,1999
"192",301,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Spicara smaris",126830,NA,"Count (Dmnless)",1,"Dmnless",5,1999
"193",302,"1999-05-11","36.76_-2.27_5760","36.76_-2.27_5760_19990511",NA,NA,63,"Trachurus trachurus",126822,NA,"Count (Dmnless)",6,"Dmnless",5,1999
"194",303,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"195",304,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Arnoglossus thori",127128,NA,"Count (Dmnless)",4,"Dmnless",5,2000
"196",305,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Bathysolea profundicola",127152,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"197",306,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Boops boops",127047,NA,"Count (Dmnless)",73,"Dmnless",5,2000
"198",307,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Callionymus maculatus",126793,NA,"Count (Dmnless)",2,"Dmnless",5,2000
"199",308,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Cepola macrophthalma",126835,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"200",309,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Chelidonichthys lucerna",127262,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"201",310,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",43,"Dmnless",5,2000
"202",311,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Echelus myrus",126314,NA,"Count (Dmnless)",6,"Dmnless",5,2000
"203",312,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Gaidropsarus biscayensis",126452,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"204",313,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Gobius niger",126892,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"205",314,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Helicolenus dactylopterus",127251,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"206",315,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Lophius budegassa",126554,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"207",316,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Merluccius merluccius",126484,NA,"Count (Dmnless)",4,"Dmnless",5,2000
"208",317,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"209",318,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Mullus barbatus",126985,NA,"Count (Dmnless)",35,"Dmnless",5,2000
"210",319,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Mullus surmuletus",126986,NA,"Count (Dmnless)",3,"Dmnless",5,2000
"211",320,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Ophichthus rufus",126316,NA,"Count (Dmnless)",2,"Dmnless",5,2000
"212",321,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Pagellus acarne",127057,NA,"Count (Dmnless)",47,"Dmnless",5,2000
"213",322,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Pagellus bogaraveo",127059,NA,"Count (Dmnless)",305,"Dmnless",5,2000
"214",323,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Raja montagui",105887,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"215",324,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Scorpaena porcus",127247,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"216",325,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Serranus cabrilla",127041,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"217",326,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Serranus hepatus",127042,NA,"Count (Dmnless)",23,"Dmnless",5,2000
"218",327,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",19,"Dmnless",5,2000
"219",328,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Spicara maena",126828,NA,"Count (Dmnless)",4,"Dmnless",5,2000
"220",329,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Spicara smaris",126830,NA,"Count (Dmnless)",4,"Dmnless",5,2000
"221",330,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Torpedo marmorata",271684,NA,"Count (Dmnless)",1,"Dmnless",5,2000
"222",331,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",21,"Dmnless",5,2000
"223",332,"2000-05-30","36.76_-2.27_5760","36.76_-2.27_5760_20000530",NA,NA,68,"Trachurus trachurus",126822,NA,"Count (Dmnless)",13,"Dmnless",5,2000
"224",333,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Arnoglossus thori",127128,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"225",334,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Boops boops",127047,NA,"Count (Dmnless)",76,"Dmnless",5,2003
"226",335,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Carapus acus",126661,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"227",336,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",4,"Dmnless",5,2003
"228",337,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Diplodus vulgaris",127054,NA,"Count (Dmnless)",2,"Dmnless",5,2003
"229",338,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Echelus myrus",126314,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"230",339,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",42,"Dmnless",5,2003
"231",340,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Lophius budegassa",126554,NA,"Count (Dmnless)",2,"Dmnless",5,2003
"232",341,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Merluccius merluccius",126484,NA,"Count (Dmnless)",4,"Dmnless",5,2003
"233",342,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Microchirus boscanion",274300,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"234",343,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Microchirus variegatus",274304,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"235",344,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Pagellus acarne",127057,NA,"Count (Dmnless)",984,"Dmnless",5,2003
"236",345,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Pagellus bogaraveo",127059,NA,"Count (Dmnless)",11,"Dmnless",5,2003
"237",346,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",14,"Dmnless",5,2003
"238",347,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Pagrus pagrus",127063,NA,"Count (Dmnless)",3,"Dmnless",5,2003
"239",348,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Pomatoschistus microps",126927,NA,"Count (Dmnless)",7,"Dmnless",5,2003
"240",349,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Raja asterias",105881,NA,"Count (Dmnless)",2,"Dmnless",5,2003
"241",350,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Scyliorhinus canicula",105814,NA,"Count (Dmnless)",3,"Dmnless",5,2003
"242",351,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Serranus cabrilla",127041,NA,"Count (Dmnless)",6,"Dmnless",5,2003
"243",352,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Serranus hepatus",127042,NA,"Count (Dmnless)",30,"Dmnless",5,2003
"244",353,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",10,"Dmnless",5,2003
"245",354,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Spicara smaris",126830,NA,"Count (Dmnless)",431,"Dmnless",5,2003
"246",355,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Symphurus nigrescens",127134,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"247",356,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Trachurus picturatus",126821,NA,"Count (Dmnless)",7,"Dmnless",5,2003
"248",357,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Trachurus trachurus",126822,NA,"Count (Dmnless)",108,"Dmnless",5,2003
"249",358,"2003-05-01","36.76_-2.27_5760","36.76_-2.27_5760_20030501",NA,NA,62,"Zeus faber",127427,NA,"Count (Dmnless)",1,"Dmnless",5,2003
"250",359,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",6,"Dmnless",5,2004
"251",360,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Blennius ocellaris",126761,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"252",361,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Boops boops",127047,NA,"Count (Dmnless)",63,"Dmnless",5,2004
"253",362,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Callionymus maculatus",126793,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"254",363,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Capros aper",127419,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"255",364,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Cepola macrophthalma",126835,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"256",365,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",9,"Dmnless",5,2004
"257",366,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Echelus myrus",126314,NA,"Count (Dmnless)",11,"Dmnless",5,2004
"258",367,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",49,"Dmnless",5,2004
"259",368,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Merluccius merluccius",126484,NA,"Count (Dmnless)",17,"Dmnless",5,2004
"260",369,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Microchirus boscanion",274300,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"261",370,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Mullus barbatus",126985,NA,"Count (Dmnless)",602,"Dmnless",5,2004
"262",371,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Mullus surmuletus",126986,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"263",372,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Pagellus acarne",127057,NA,"Count (Dmnless)",370,"Dmnless",5,2004
"264",373,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",60,"Dmnless",5,2004
"265",374,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Pagrus pagrus",127063,NA,"Count (Dmnless)",5,"Dmnless",5,2004
"266",375,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Scyliorhinus canicula",105814,NA,"Count (Dmnless)",3,"Dmnless",5,2004
"267",376,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Serranus hepatus",127042,NA,"Count (Dmnless)",58,"Dmnless",5,2004
"268",377,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Spicara flexuosum",1577318,NA,"Count (Dmnless)",15,"Dmnless",5,2004
"269",378,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Spicara smaris",126830,NA,"Count (Dmnless)",77,"Dmnless",5,2004
"270",379,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Torpedo marmorata",271684,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"271",380,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Trachinus draco",127082,NA,"Count (Dmnless)",1,"Dmnless",5,2004
"272",381,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Trachurus mediterraneus",126820,NA,"Count (Dmnless)",4,"Dmnless",5,2004
"273",382,"2004-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20040511",NA,NA,65,"Zeus faber",127427,NA,"Count (Dmnless)",2,"Dmnless",5,2004
"274",383,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Argyropelecus hemigymnus",127309,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"275",384,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Arnoglossus laterna",127126,NA,"Count (Dmnless)",7,"Dmnless",5,2006
"276",385,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Arnoglossus thori",127128,NA,"Count (Dmnless)",3,"Dmnless",5,2006
"277",386,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Boops boops",127047,NA,"Count (Dmnless)",193,"Dmnless",5,2006
"278",387,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Capros aper",127419,NA,"Count (Dmnless)",3,"Dmnless",5,2006
"279",388,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Cepola macrophthalma",126835,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"280",389,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Chelidonichthys obscurus",127263,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"281",390,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Deltentosteus quadrimaculatus",126880,NA,"Count (Dmnless)",2,"Dmnless",5,2006
"282",391,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Diplodus vulgaris",127054,NA,"Count (Dmnless)",2,"Dmnless",5,2006
"283",392,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Echelus myrus",126314,NA,"Count (Dmnless)",3,"Dmnless",5,2006
"284",393,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Gnathophis mystax",126287,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"285",394,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Helicolenus dactylopterus",127251,NA,"Count (Dmnless)",2,"Dmnless",5,2006
"286",395,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Lepidotrigla cavillone",127264,NA,"Count (Dmnless)",79,"Dmnless",5,2006
"287",396,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Lepidotrigla dieuzeidei",127265,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"288",397,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Lophius budegassa",126554,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"289",398,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Merluccius merluccius",126484,NA,"Count (Dmnless)",5,"Dmnless",5,2006
"290",399,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Microchirus boscanion",274300,NA,"Count (Dmnless)",4,"Dmnless",5,2006
"291",400,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Mullus barbatus",126985,NA,"Count (Dmnless)",1173,"Dmnless",5,2006
"292",401,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Mullus surmuletus",126986,NA,"Count (Dmnless)",18,"Dmnless",5,2006
"293",402,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Ophichthus rufus",126316,NA,"Count (Dmnless)",4,"Dmnless",5,2006
"294",403,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Ophidion barbatum",126675,NA,"Count (Dmnless)",1,"Dmnless",5,2006
"295",404,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Pagellus acarne",127057,NA,"Count (Dmnless)",738,"Dmnless",5,2006
"296",405,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Pagellus bogaraveo",127059,NA,"Count (Dmnless)",9,"Dmnless",5,2006
"297",406,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Pagellus erythrinus",127060,NA,"Count (Dmnless)",19,"Dmnless",5,2006
"298",407,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Pagrus pagrus",127063,NA,"Count (Dmnless)",10,"Dmnless",5,2006
"299",408,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Scyliorhinus canicula",105814,NA,"Count (Dmnless)",4,"Dmnless",5,2006
"300",409,"2006-05-11","36.76_-2.27_5760","36.76_-2.27_5760_20060511",NA,NA,58,"Serranus cabrilla",127041,NA,"Count (Dmnless)",6,"Dmnless",5,2006
